,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
0,1,3,1,4.0,1,0,0.0,S,0
1,2,1,1,7.0,1,0,7.0,C,1
2,3,3,1,5.0,0,0,0.0,S,1
3,4,1,1,7.0,1,0,5.0,S,1
4,5,3,1,7.0,0,0,0.0,S,0
5,6,3,1,,0,0,0.0,Q,0
6,7,1,1,10.0,0,0,5.0,S,0
7,8,3,1,0.0,3,1,2.0,S,0
8,9,3,1,5.0,0,2,1.0,S,1
9,10,2,1,2.0,1,0,3.0,C,1
10,11,3,1,0.0,1,1,1.0,S,1
11,12,1,1,11.0,0,0,2.0,S,1
12,13,3,1,4.0,0,0,0.0,S,0
13,14,3,1,7.0,1,5,3.0,S,0
14,15,3,1,2.0,0,0,0.0,S,0
15,16,2,1,11.0,0,0,1.0,S,1
16,17,3,1,0.0,4,1,2.0,Q,0
17,18,2,1,,0,0,1.0,S,1
18,19,3,1,6.0,1,0,1.0,S,0
19,20,3,1,,0,0,0.0,C,1
20,21,2,1,7.0,0,0,2.0,S,0
21,22,2,1,6.0,0,0,1.0,S,1
22,23,3,1,3.0,0,0,0.0,Q,1
23,24,1,1,5.0,0,0,3.0,S,1
24,25,3,1,1.0,3,1,2.0,S,0
25,26,3,1,7.0,1,5,3.0,S,1
26,27,3,1,,0,0,0.0,C,0
27,28,1,1,3.0,3,2,26.0,S,0
28,29,3,1,,0,0,0.0,Q,1
29,30,3,1,,0,0,0.0,S,0
30,31,1,1,8.0,0,0,2.0,C,0
31,32,1,1,,1,0,14.0,C,1
32,33,3,1,,0,0,0.0,Q,1
33,34,2,1,13.0,0,0,1.0,S,0
34,35,1,1,5.0,1,0,8.0,C,0
35,36,1,1,8.0,1,0,5.0,S,0
36,37,3,1,,0,0,0.0,C,1
37,38,3,1,4.0,0,0,0.0,S,0
38,39,3,1,3.0,2,0,1.0,S,0
39,40,3,1,2.0,1,0,1.0,C,1
40,41,3,1,8.0,1,0,0.0,S,0
41,42,2,1,5.0,1,0,2.0,S,0
42,43,3,1,,0,0,0.0,C,0
43,44,2,1,0.0,1,2,4.0,C,1
44,45,3,1,3.0,0,0,0.0,Q,1
45,46,3,1,,0,0,0.0,S,0
46,47,3,1,,1,0,1.0,Q,0
47,48,3,1,,0,0,0.0,Q,1
48,49,3,1,,2,0,2.0,C,0
49,50,3,1,3.0,1,0,1.0,S,0
50,51,3,1,1.0,4,1,3.0,S,0
51,52,3,1,4.0,0,0,0.0,S,0
52,53,1,1,9.0,1,0,7.0,C,1
53,54,2,1,5.0,1,0,2.0,S,1
54,55,1,1,13.0,0,1,6.0,C,0
55,56,1,1,,0,0,3.0,S,1
56,57,2,1,4.0,0,0,1.0,S,1
57,58,3,1,5.0,0,0,0.0,C,0
58,59,2,1,1.0,1,2,2.0,S,1
59,60,3,1,2.0,5,2,4.0,S,0
60,61,3,1,4.0,0,0,0.0,C,0
61,62,1,1,7.0,0,0,8.0,,1
62,63,1,1,9.0,1,0,8.0,S,0
63,64,3,1,0.0,3,2,2.0,S,0
64,65,1,1,,0,0,2.0,C,0
65,66,3,1,,1,1,1.0,C,1
66,67,2,1,5.0,0,0,1.0,S,1
67,68,3,1,3.0,0,0,0.0,S,0
68,69,3,1,3.0,4,2,0.0,S,1
69,70,3,1,5.0,2,0,0.0,S,0
70,71,2,1,6.0,0,0,1.0,S,0
71,72,3,1,3.0,5,2,4.0,S,0
72,73,2,1,4.0,0,0,7.0,S,0
73,74,3,1,5.0,1,0,1.0,C,0
74,75,3,1,6.0,0,0,5.0,S,1
75,76,3,1,5.0,0,0,0.0,S,0
76,77,3,1,,0,0,0.0,S,0
77,78,3,1,,0,0,0.0,S,0
78,79,2,1,0.0,0,2,2.0,S,1
79,80,3,1,6.0,0,0,1.0,S,1
80,81,3,1,4.0,0,0,0.0,S,0
81,82,3,1,5.0,0,0,0.0,S,1
82,83,3,1,,0,0,0.0,Q,1
83,84,1,1,5.0,0,0,4.0,S,0
84,85,2,1,3.0,0,0,1.0,S,1
85,86,3,1,6.0,3,0,1.0,S,1
86,87,3,1,3.0,1,3,3.0,S,0
87,88,3,1,,0,0,0.0,S,0
88,89,1,1,4.0,3,2,26.0,S,1
89,90,3,1,4.0,0,0,0.0,S,0
90,91,3,1,5.0,0,0,0.0,S,0
91,92,3,1,4.0,0,0,0.0,S,0
92,93,1,1,9.0,1,0,6.0,S,0
93,94,3,1,5.0,1,2,2.0,S,0
94,95,3,1,11.0,0,0,0.0,S,0
95,96,3,1,,0,0,0.0,S,0
96,97,1,1,14.0,0,0,3.0,C,0
97,98,1,1,4.0,0,1,6.0,C,1
98,99,2,1,6.0,0,1,2.0,S,1
99,100,2,1,6.0,1,0,2.0,S,0
100,101,3,1,5.0,0,0,0.0,S,0
101,102,3,1,,0,0,0.0,S,0
102,103,1,1,4.0,0,1,7.0,S,0
103,104,3,1,6.0,0,0,0.0,S,0
104,105,3,1,7.0,2,0,0.0,S,0
105,106,3,1,5.0,0,0,0.0,S,0
106,107,3,1,4.0,0,0,0.0,S,1
107,108,3,1,,0,0,0.0,S,1
108,109,3,1,7.0,0,0,0.0,S,0
109,110,3,1,,1,0,2.0,Q,1
110,111,1,1,9.0,0,0,5.0,S,0
111,112,3,1,2.0,1,0,1.0,C,0
112,113,3,1,4.0,0,0,0.0,S,0
113,114,3,1,4.0,1,0,0.0,S,0
